	Time	cvTop	cvBot	Sum(cvTop)	Sum(cvBot)	cvCh0	cvCh1	cTop	cRoot	cBot	cvRoot	Sum(cvRoot)	Sum(cvNEql)	TLevel	cGWL	cRunOff	Sum(cRunOff)	"(cv(i),"	"Sum(cv(i)),"	"i=1,NObs)"
	[T]	[M/L2/T]	[M/L2/T]	[M/L2]	[M/L2]	[M/L2]	[M/L2]	[M/L3]	[M/L3]	[M/L3]	[M/L2/T]	[M/L2]	[M/L2]	[M/L3]	[M/L2]	[M/L3]	[M/L2/T]	[M/L2]		
	0.001	1.47E+01	0.00E+00	1.47E-02	0.00E+00	0.00E+00	0.00E+00	3.85E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1	0.00E+00	0.00E+00	0.00E+00			
	0.0023	1.47E+01	0.00E+00	3.38E-02	0.00E+00	0.00E+00	0.00E+00	1.39E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2	0.00E+00	0.00E+00	0.00E+00			
	0.004	1.47E+01	0.00E+00	5.87E-02	0.00E+00	0.00E+00	0.00E+00	2.68E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3	0.00E+00	0.00E+00	0.00E+00			
	0.0062	1.47E+01	0.00E+00	9.09E-02	0.00E+00	0.00E+00	0.00E+00	4.36E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4	0.00E+00	0.00E+00	0.00E+00			
	0.009	1.47E+01	0.00E+00	1.33E-01	0.00E+00	0.00E+00	0.00E+00	6.54E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5	0.00E+00	0.00E+00	0.00E+00			
	0.0128	1.47E+01	0.00E+00	1.88E-01	0.00E+00	0.00E+00	0.00E+00	9.37E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6	0.00E+00	0.00E+00	0.00E+00			
	0.0176	1.47E+01	0.00E+00	2.58E-01	0.00E+00	0.00E+00	0.00E+00	1.30E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7	0.00E+00	0.00E+00	0.00E+00			
	0.0239	1.47E+01	0.00E+00	3.51E-01	0.00E+00	0.00E+00	0.00E+00	1.77E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8	0.00E+00	0.00E+00	0.00E+00			
	0.032	1.47E+01	0.00E+00	4.71E-01	0.00E+00	0.00E+00	0.00E+00	2.38E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9	0.00E+00	0.00E+00	0.00E+00			
	0.0426	1.47E+01	0.00E+00	6.27E-01	0.00E+00	0.00E+00	0.00E+00	3.16E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	10	0.00E+00	0.00E+00	0.00E+00			
	0.0564	1.47E+01	0.00E+00	8.29E-01	0.00E+00	0.00E+00	0.00E+00	4.15E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	11	0.00E+00	0.00E+00	0.00E+00			
	0.0743	1.47E+01	0.00E+00	1.09E+00	0.00E+00	0.00E+00	0.00E+00	5.42E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	12	0.00E+00	0.00E+00	0.00E+00			
